,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
10,Austin,TX,Austin-Round Rock,Travis County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,1350.0,1350.0,1332.5,1350.0,1295.0,1292.5,1300.0,1395.0,1445.0,1350.0,1373.0,1415.0,1425.0,1400.0,1395.0,1347.5,1346.0,1350.0,1350.0,1342.0,1400.0,1465.0,1535.0,1550.0,1550.0,1550.0,1550.0,1550.0,1500.0,1500.0,1500.0,1497.0,1375.0,1350.0,1450.0,1450.0,1412.5,1391.0,1300.0,1325.0,1328.5,1500.0,1575.0,1625.0,1695.0,1700.0,1700.0,1730.0,1700.0,1695.0,1650.0,1650.0,1615.0,1650.0,1659.0,1695.0,1700.0,1727.5,1750.0,1775.0,1775.0,1750.0,1710.0,1700.0,1700.0,1700.0,1700.0,1750.0,1775.0,1800.0,1800.0,1800.0,1800.0,1795.0,1795.0,1795.0,1750.0
11,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,12,,,,,,,,,,,,,,2250.0,2300.0,2450.0,2425.0,2450.0,2495.0,2495.0,2400.0,2450.0,2450.0,2400.0,2295.0,2395.0,2395.0,2400.0,2400.0,2495.0,2500.0,2450.0,2450.0,2500.0,2400.0,2500.0,2500.0,2477.5,2500.0,2500.0,2590.0,2600.0,2800.0,2749.5,2850.0,2850.0,2700.0,2850.0,2650.0,2600.0,2695.0,2700.0,2887.5,2995.0,2990.0,3095.0,3000.0,3002.0,2999.0,3000.0,3095.0,3000.0,3100.0,3195.0,3295.0,3500.0,3450.0,3400.0,3395.0,3450.0,3400.0,3350.0,3300.0,3400.0,3395.0,3450.0,3500.0,3495.0,3495.0,3400.0,3300.0,3250.0,3250.0,3250.0,3300.0,3335.0,3400.0,3495.0,3500.0,3600.0,3600.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3600.0,3600.0,3697.0,3650.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3650.0,3695.0,3750.0,3750.0,3700.0,3700.0,3700.0,3600.0,3600.0,3600.0
12,Jacksonville,FL,Jacksonville,Duval County,13,,,950.0,995.0,1025.0,1000.0,1050.0,1050.0,1000.0,1025.0,1000.0,1025.0,995.0,1000.0,1050.0,1050.0,1050.0,1075.0,1075.0,1050.0,1000.0,995.0,995.0,995.0,995.0,999.0,1000.0,1006.0,1050.0,1050.0,1050.0,1050.0,1050.0,1025.0,1000.0,1000.0,1025.0,1025.0,1025.0,1050.0,1100.0,1100.0,1095.0,1100.0,1075.0,1075.0,1075.0,1075.0,1050.0,1070.0,1095.0,1095.0,1100.0,1100.0,1095.0,1075.0,1075.0,1050.0,1050.0,1050.0,1050.0,1050.0,1075.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1095.0,1095.0,1095.0,1099.0,1100.0,1150.0,1150.0,1156.0,1150.0,1184.5,1175.0,1150.0,1125.0,1125.0,1100.0,1125.0,1100.0,1150.0,1150.0,1195.0,1200.0,1225.0,1204.5,1200.0,1200.0,1200.0,1195.0,1195.0,1195.0,1200.0,1250.0,1250.0,1275.0,1275.0,1250.0,1250.0,1250.0,1250.0,1295.0,1275.0,1275.0,1300.0,1350.0,1350.0,1350.0,1352.5,1350.0,1350.0,1395.0,1384.5,1395.0
13,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,14,,,,,,,,,,,,,,750.0,750.0,775.0,790.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,777.5,795.0,775.0,775.0,750.0,750.0,750.0,775.0,775.0,775.0,765.0,750.0,750.0,775.0,800.0,800.0,825.0,822.0,875.0,850.0,800.0,795.0,800.0,800.0,825.0,825.0,835.0,850.0,850.0,850.0,850.0,877.5,875.0,890.0,850.0,850.0,850.0,886.0,900.0,900.0,925.0,900.0,895.0,875.0,875.0,850.0,807.5,825.0,825.0,850.0,875.0,925.0,950.0,900.0,995.0,900.0,900.0,900.0,900.0,950.0,925.0,995.0,995.0,1000.0,1025.0,1015.0,1025.0,1000.0,1050.0,1000.0,995.0,975.0,975.0,997.0,1025.0,1025.0,1050.0,1000.0,1050.0,1028.0,1030.0,1000.0,975.0,975.0,975.0,975.0,1000.0,1000.0,1072.0,1100.0,1100.0,1149.0,1100.0,1100.0,1050.0,1050.0
14,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950.0,4250.0,4250.0,4060.0,3975.0,4000.0,4315.0,4155.0,3937.5,3800.0,3850.0,4200.0,3995.0,4000.0,4200.0,4295.0,4500.0,4275.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4800.0,5200.0,4750.0,4500.0,4500.0,4500.0,4725.0,4672.5,4600.0,4500.0,4640.0,4500.0,4500.0,4575.0,4400.0,4100.0,4200.0,4200.0,4200.0,4500.0,4500.0,4500.0,4595.0,4600.0,4500.0,4500.0,4500.0,4600.0,4500.0,4500.0,4500.0,4500.0,4500.0,4650.0,4600.0,4700.0,4800.0,4700.0,4800.0,4600.0,4550.0,4500.0,4500.0,4500.0,4500.0,4550.0,4500.0,4600.0,4500.0,4600.0,4500.0,4500.0,4595.0,4500.0
15,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,16,,995.0,995.0,992.5,995.0,995.0,1000.0,995.0,995.0,975.0,995.0,995.0,950.0,950.0,950.0,975.0,995.0,1000.0,1050.0,1000.0,1025.0,1000.0,995.0,995.0,1000.0,998.5,1049.0,1050.0,1075.0,1095.0,1100.0,1095.0,1075.0,1050.0,1050.0,1050.0,1050.0,1000.0,1042.0,1100.0,1150.0,1150.0,1150.0,1150.0,1150.0,1125.0,1100.0,1095.0,1080.0,1075.0,1080.0,1095.0,1100.0,1125.0,1150.0,1150.0,1150.0,1195.0,1182.5,1175.0,1175.0,1175.0,1197.0,1225.0,1250.0,1250.0,1250.0,1250.0,1230.0,1245.0,1200.0,1225.0,1250.0,1250.0,1250.0,1250.0,1277.0,1279.0,1295.0,1295.0,1299.0,1275.0,1295.0,1250.0,1300.0,1350.0,1395.0,1410.0,1400.0,1400.0,1425.0,1400.0,1400.0,1400.0,1407.5,1400.0,1400.0,1425.0,1445.0,1495.0,1490.0,1475.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1475.0,1479.0,1500.0,1549.5,1550.0,1550.0,1550.0,1550.0,1537.5,1500.0,1505.0,1500.0
16,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,,,,,,,,,,,,,,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1245.0,1250.0,1225.0,1200.0,1250.0,1250.0,1200.0,1200.0,1200.0,1250.0,1200.0,1200.0,1200.0,1250.0,1250.0,1295.0,1300.0,1295.0,1295.0,1295.0,1295.0,1250.0,1300.0,1295.0,1295.0,1295.0,1295.0,1350.0,1350.0,1350.0,1350.0,1350.0,1325.0,1350.0,1350.0,1350.0,1375.0,1395.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1395.0,1400.0,1395.0,1400.0,1400.0,1450.0,1450.0,1450.0,1450.0,1450.0,1454.5,1450.0,1450.0,1450.0,1450.0,1495.0,1495.0,1495.0,1500.0,1550.0,1550.0,1565.0,1550.0,1550.0,1550.0,1525.0,1500.0,1525.0,1545.0,1550.0,1600.0,1600.0,1597.5,1625.0,1600.0,1600.0,1595.0,1595.0,1595.0,1595.0,1597.0,1600.0,1640.0,1650.0,1651.5,1650.0,1650.0,1650.0,1605.0,1645.0,1625.0
17,Tucson,AZ,Tucson,Pima County,18,,1100.0,1095.0,1095.0,1075.0,1085.0,1095.0,1150.0,1095.0,1050.0,1097.0,1095.0,1057.5,1050.0,1095.0,1100.0,1100.0,1071.0,1075.0,1071.0,1050.0,1000.0,1000.0,1000.0,1050.0,1025.0,1095.0,1095.0,1075.0,1075.0,1050.0,1050.0,1047.0,1045.0,1050.0,1000.0,1000.0,1000.0,1050.0,1050.0,1080.0,1095.0,1075.0,1050.0,1045.0,1025.0,1000.0,1025.0,1025.0,1045.0,1040.0,1050.0,1050.0,1095.0,1100.0,1050.0,1050.0,1050.0,1050.0,1045.0,1050.0,1050.0,1050.0,1075.0,1095.0,1095.0,1075.0,1075.0,1075.0,1075.0,1095.0,1095.0,1097.5,1100.0,1100.0,1125.0,1100.0,1100.0,1100.0,1095.0,1079.0,1095.0,1095.0,1095.0,1095.0,1150.0,1195.0,1200.0,1200.0,1200.0,1200.0,1175.0,1150.0,1150.0,1150.0,1150.0,1195.0,1200.0,1200.0,1250.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1249.0,1250.0,1250.0,1285.0,1295.0,1300.0,1300.0,1300.0,1300.0,1300.0,1295.0,1299.5,1300.0,1300.0
18,Columbus,OH,Columbus,Franklin County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,950.0,1075.0,950.0,925.0,915.0,900.0,995.0,950.0,900.0,950.0,995.0,1050.0,980.0,1050.0,1088.0,1042.0,1075.0,1125.0,1100.0,1100.0,1100.0,1000.0,1100.0,1100.0,1195.0,1095.0,1125.0,1150.0,1195.0,1200.0,1199.5,1150.0,1100.0,1075.0,1195.0,1199.0,1079.0,1095.0,1195.0,1199.0,1150.0,1250.0,1200.0,1232.5,1200.0,1175.0,1299.0,1350.0,1275.0,1250.0,1250.0,1250.0,1300.0,1350.0,1295.0,1295.0,1250.0,1300.0,1450.0,1400.0,1300.0,1250.0,1275.0,1300.0,1300.0,1350.0,1342.5,1300.0,1295.0,1295.0,1304.5,1325.0,1299.5,1295.0
19,Louisville,KY,Louisville/Jefferson County,Jefferson County,20,,,,,,,,,,,,,,,,,,,,900.0,899.0,850.0,795.0,795.0,749.0,750.0,760.0,785.0,795.0,775.0,765.0,800.0,800.0,800.0,850.0,827.5,825.0,800.0,825.0,849.5,850.0,800.0,800.0,849.0,875.0,875.0,800.0,875.0,800.0,800.0,800.0,800.0,899.0,885.0,899.5,900.0,900.0,895.0,899.0,885.0,895.0,875.0,899.0,900.0,905.0,949.0,965.0,950.0,925.0,900.0,900.0,900.0,937.5,925.0,950.0,925.0,950.0,950.0,995.0,959.0,995.0,975.0,985.0,1000.0,995.0,995.0,1025.0,1100.0,1111.0,1150.0,1095.0,1100.0,1095.0,1095.0,1047.5,1035.0,1000.0,1095.0,1100.0,1195.0,1199.0,1199.0,1195.0,1150.0,1125.0,1100.0,1095.0,1095.0,1100.0,1100.0,1100.0,1195.0,1200.0,1200.0,1199.0,1195.0,1197.0,1150.0,1150.0,1125.0
20,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,21,,,1400.0,1395.0,1372.5,1300.0,1250.0,1200.0,1200.0,1200.0,1233.5,1199.5,1200.0,1195.0,1200.0,1200.0,1249.5,1250.0,1277.5,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1222.5,1250.0,1250.0,1295.0,1250.0,1250.0,1250.0,1200.0,1200.0,1225.0,1200.0,1250.0,1295.0,1350.0,1325.0,1350.0,1350.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1350.0,1395.0,1399.0,1395.0,1360.0,1350.0,1350.0,1375.0,1395.0,1395.0,1400.0,1425.0,1400.0,1450.0,1450.0,1450.0,1450.0,1425.0,1425.0,1400.0,1425.0,1425.0,1450.0,1450.0,1495.0,1495.0,1500.0,1495.0,1450.0,1450.0,1450.0,1450.0,1495.0,1550.0,1550.0,1595.0,1600.0,1598.5,1600.0,1600.0,1595.0,1595.0,1575.0,1595.0,1600.0,1600.0,1650.0,1650.0,1695.0,1700.0,1700.0,1700.0,1700.0,1695.0,1695.0,1700.0,1700.0,1700.0,1700.0,1750.0,1785.0,1780.0,1775.0,1750.0,1750.0,1732.5,1700.0,1750.0
21,El Paso,TX,El Paso,El Paso County,22,,,,,,,,,,,,,,,,1300.0,1250.0,1237.5,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1250.0,1200.0,1200.0,1200.0,1175.0,1150.0,1100.0,1100.0,1095.0,1075.0,1050.0,1100.0,1100.0,1100.0,1150.0,1125.0,1100.0,1120.0,1100.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1160.0,1195.0,1150.0,1150.0,1150.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1150.0,1175.0,1150.0,1150.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1125.0,1150.0,1150.0,1100.0,1100.0,1100.0,1097.0,1095.0,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1150.0,1149.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1195.0,1200.0,1175.0,1150.0,1100.0,1150.0,1150.0,1150.0,1150.0,1150.0,1175.0,1195.0,1220.0,1200.0,1200.0,1195.0,1175.0,1195.0,1200.0
22,Detroit,MI,Detroit-Warren-Dearborn,Wayne County,23,,,850.0,900.0,850.0,800.0,750.0,850.0,850.0,800.0,825.0,800.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,725.0,700.0,700.0,700.0,700.0,717.5,700.0,725.0,725.0,700.0,700.0,700.0,700.0,733.0,700.0,725.0,700.0,725.0,750.0,749.0,750.0,700.0,750.0,725.0,725.0,725.0,715.0,700.0,725.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,740.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,755.0,750.0,775.0,795.0,800.0,775.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,825.0,825.0,850.0,850.0,825.0,825.0,825.0,850.0,850.0
