,RegionName,State,Metro,CountyName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
20,Honolulu,HI,Urban Honolulu,Honolulu County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2545.0,2400.0,2400.0,2500.0,2500.0,2500.0,2600.0,2750.0,2600.0,2500.0,2450.0,2462.5,2500.0,2525.0,2700.0,2500.0,2500.0,2500.0,2487.0,2300.0,2300.0,2500.0,2500.0,2500.0,2500.0,2600.0,2650.0,2495.0,2400.0,2400.0,2500.0,2400.0,2600.0,2800.0,2500.0
21,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0,775.0,775.0,762.5,850.0,850.0,800.0,825.0,800.0,725.0,775.0,710.0,722.5,795.0,837.5,850.0,875.0,824.5,800.0,875.0,885.0,995.0,937.0,900.0,925.0,937.5,950.0,900.0,855.0,850.0,850.0,850.0,875.0,900.0,900.0
22,New Orleans,LA,New Orleans-Metairie,Orleans Parish,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.0,1650.0,1725.0,1950.0,2037.5,1850.0,1772.5,1750.0,1700.0,1650.0,1650.0,1750.0,1749.5,1800.0,1600.0,1650.0,1700.0,1625.0,1550.0,1550.0,1500.0,1500.0,1500.0,1575.0,1500.0,1600.0,1695.0,1695.0,1725.0,1600.0,1600.0,1600.0,1625.0,1500.0,1500.0,1472.5
23,Wichita,KS,Wichita,Sedgwick County,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.0,1100.0,1185.0,1150.0,1099.0,1095.0,1095.0,1097.5,1202.5,1200.0,1210.0,1175.0,1140.0,1250.0,1300.0,1300.0,1200.0,1175.0
24,Anchorage,AK,Anchorage,Anchorage Borough,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.0,1562.5,1525.0,1600.0,1750.0,1695.0,1700.0,1595.0,1500.0,1475.0,1600.0,1595.0,1695.0,1650.0,1600.0,1600.0,1600.0,1750.0,1800.0,1862.5,1800.0,1787.5,1735.0,1697.5,1575.0,1650.0,1700.0,1700.0,1650.0,1695.0,1797.5,1747.5,1750.0,1850.0,1850.0,1800.0
25,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2550.0,2500.0,2500.0,2499.5,2600.0,2500.0,2495.0,2495.0,2550.0,2525.0,2497.5,2495.0,2492.5,2495.0,2600.0,2747.5,2745.0,2612.5,2674.5,2525.0,2497.5,2500.0,2500.0,2650.0,2700.0,2762.5,2700.0,2595.0,2595.0,2750.0,2725.0,2537.5,2825.0,2850.0,2800.0
26,Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,27,,,,,,,2297.5,2200.0,2200.0,2125.0,2195.0,2200.0,2100.0,2200.0,2200.0,2300.0,2100.0,2097.5,2050.0,2050.0,1900.0,1995.0,2050.0,2099.0,2200.0,2050.0,2000.0,2100.0,2025.0,2200.0,2200.0,2200.0,2195.0,2100.0,2195.0,2150.0,2100.0,2100.0,2029.0,2000.0,2037.5,2000.0,1997.5,2000.0,2000.0,1995.0,1950.0,2195.0,1997.5,2297.0,2100.0,2197.5,2395.0,2300.0,2400.0,2207.5,2247.5,2100.0,2000.0,2095.0,2095.0,2005.0,2112.5,2200.0,2100.0,2315.0,2250.0,2391.0,2100.0,2295.0,2400.0,2095.0,2195.0,2246.0,2295.0,2395.0,2340.0,2400.0,2347.5,2250.0,2197.5,2200.0,2275.0,2195.0,2250.0,2250.0,2295.0,2495.0,2350.0,2390.0,2447.5,2372.5,2395.0,2400.0,2485.0,2500.0,2461.5,2387.5,2475.0,2650.0,2695.0,2685.0,2500.0,2650.0,2700.0,2500.0,2400.0,2395.0
27,Buffalo,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,700.0,655.0,750.0,775.0,750.0,772.5,750.0,775.0,837.5,800.0,750.0,772.5,775.0,800.0,800.0,775.0,800.0,800.0,800.0,900.0,900.0,1000.0,912.5,1050.0,975.0,850.0,887.5,850.0,875.0,900.0,900.0,950.0,950.0,925.0,975.0,1000.0,925.0,975.0,950.0,940.0,900.0,950.0,950.0,1000.0,1050.0,1050.0,1080.0,1000.0,975.0,990.0,950.0,900.0,850.0,900.0,962.5,997.5,1050.0,1050.0,1000.0,975.0,1000.0,1000.0,950.0,900.0,900.0
28,Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.0,1895.0,1870.0,1885.0,1903.5,1872.5,1800.0,1900.0,1945.0,1934.0,1897.5,1934.0,1985.0,1995.0,2033.0,1999.0,1999.0,1900.0,2000.0,2000.0,2000.0
29,Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange County,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999.0,5200.0,5200.0,5000.0,5000.0,5100.0,5000.0,5250.0,5250.0,5500.0,5500.0,5890.0,5862.5,6050.0,6100.0,5875.0,5425.0,5500.0,5500.0,5450.0,5800.0,5800.0,5850.0,5700.0,5500.0,5500.0,5925.0,6000.0,5500.0,6200.0,6000.0,6050.0,6100.0,6380.0,6500.0,6850.0
30,Yonkers,NY,New York-Newark-Jersey City,Westchester County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2249.5,2125.0,2350.0,2300.0,2375.0,2500.0,2425.0,2425.0,2500.0,2400.0,2300.0,2300.0,2300.0,2300.0,2300.0,2400.0,2400.0,2400.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2300.0,2300.0,2400.0,2400.0,2400.0,2283.0,2400.0,2400.0,2400.0,2375.0
31,Providence,RI,Providence-Warwick,Providence County,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.5,2225.0,2112.5,2125.0,2047.5,2212.5,1875.0,1800.0,2100.0,2250.0,2400.0,2300.0,2212.5,2400.0,2400.0,2350.0,2162.5,2200.0,2050.0,1800.0,1950.0,2125.0,2200.0,2200.0
32,Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950.0,2825.0,2750.0,2750.0,2865.0,2875.0,2900.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2850.0,2672.5,2625.0,2795.0,3100.0,3200.0,3000.0,3000.0,2875.0,2950.0,2800.0,2800.0,2650.0,2650.0,2725.0,2925.0,2900.0,2800.0,2950.0,2975.0,3000.0,2925.0,2870.0
33,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,34,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,2150.0,2040.0,1975.0,2050.0,1950.0,2200.0,1995.0,1962.5,1962.5,1862.5,1775.0,1695.0,1800.0,1995.0,2225.0,2350.0,2300.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1995.0,2175.0,2150.0,2300.0,2500.0,2250.0,2200.0,2095.0,2100.0,2197.5,2200.0,2100.0,2195.0,2200.0,2300.0,2450.0,2500.0,2400.0,2200.0,2375.0,2300.0,2275.0,2150.0,2100.0,2200.0,2250.0,2350.0,2350.0,2550.0,2487.5,2375.0,2300.0,2350.0,2300.0,2195.0,2195.0,2100.0,2250.0,2300.0,2300.0,2350.0,2200.0,2200.0,2200.0,2350.0,2225.0,2200.0,2310.0,2425.0,2472.5,2395.0,2450.0,2400.0,2470.0,2300.0,2250.0,2200.0,2300.0
34,Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650.0,2595.0,2595.0,2750.0,2750.0,2750.0,2775.0,2925.0,2972.5,2999.5,2995.0,2950.0,2897.5,2800.0,2875.0,2797.5,2700.0,2872.5,2825.0,2947.5,2800.0,2897.5,3150.0,3000.0,2950.0,2835.0,2750.0,2795.0,3049.5,3100.0,3275.0,2995.0,2850.0,2795.0,2800.0,2950.0,2982.5,3000.0
35,Bellevue,WA,Seattle-Tacoma-Bellevue,King County,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0,3672.5,3500.0,3575.0,3695.0,3800.0,3625.0,3722.5,3770.0,3600.0,3495.0,3600.0,4175.0,3995.0,3950.0,3750.0,3600.0,3745.0,3575.0,3500.0,3960.0
36,New Haven,CT,New Haven-Milford,New Haven County,37,,,,,,1150.0,1162.5,1150.0,1195.0,1222.5,1190.0,1112.5,1200.0,1125.0,1100.0,1225.0,1200.0,1200.0,1200.0,1200.0,1200.0,1125.0,1150.0,1150.0,1150.0,1150.0,1200.0,1162.5,1100.0,1162.5,1175.0,1200.0,1200.0,1125.0,1100.0,1100.0,1195.0,1150.0,1150.0,1200.0,1112.5,1190.0,1250.0,1200.0,1200.0,1200.0,1200.0,1162.5,1197.5,1200.0,1200.0,1200.0,1287.5,1262.5,1250.0,1312.5,1200.0,1200.0,1250.0,1250.0,1200.0,1200.0,1285.0,1325.0,1200.0,1300.0,1275.0,1250.0,1200.0,1287.5,1200.0,1260.0,1200.0,1275.0,1450.0,1550.0,1500.0,1395.0,1300.0,1300.0,1320.0,1387.5,1362.5,1350.0,1395.0,1500.0,1525.0,1537.5,1550.0,1600.0,1550.0,1550.0,1450.0,1350.0,1337.5,1375.0,1300.0,1300.0,1400.0,1400.0,1400.0,1450.0,1475.0,1550.0,1537.5,1550.0,1500.0,1497.5
37,Murrieta,CA,Riverside-San Bernardino-Ontario,Riverside County,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295.0,2295.0,2325.0,2350.0,2350.0,2395.0,2395.0,2400.0,2425.0,2472.5,2397.5,2425.0,2395.0,2395.0,2425.0,2499.0,2499.5,2472.5,2585.0,2695.0,2600.0,2495.0,2500.0,2495.0,2495.0,2497.5,2495.0,2495.0,2500.0,2600.0,2547.5,2550.0,2550.0,2525.0,2500.0,2500.0,2550.0
38,Temecula,CA,Riverside-San Bernardino-Ontario,Riverside County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,2675.0,2600.0,2600.0,2595.0,2672.5,2747.5,2700.0,2725.0,2800.0,2797.5,2695.0,2600.0,2695.0,2772.5,2745.0,2750.0,2650.0,2700.0,2800.0,2650.0,2825.0,2850.0,2800.0,2850.0,2874.5,2925.0,2800.0,2765.0,2800.0,2800.0,2800.0,2800.0,2900.0,2800.0
39,Tracy,CA,Stockton-Lodi,San Joaquin County,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572.0,2600.0,2600.0,2700.0,2650.0,2672.5,2700.0,2725.0,2675.0,2600.0,2600.0,2772.5,2700.0,2695.0,2695.0,2795.0,2765.0,2710.0,2750.0,2600.0,2649.5,2600.0,2555.0,2650.0
